Wed Apr 29 14:09:50 +0000 2020,1255499536518217730,[],"[{'screen_name': 'KirkCousins8', 'name': 'kirkcousins8', 'id': 370458410, 'id_str': '370458410', 'indices': [11, 24]}, {'screen_name': 'Coach_mtucker', 'name': 'Mel Tucker', 'id': 3004205673, 'id_str': '3004205673', 'indices': [26, 40]}, {'screen_name': 'bvheide', 'name': 'Brandon VanDerHeide', 'id': 7115102, 'id_str': '7115102', 'indices': [42, 50]}, {'screen_name': 'cgee', 'name': 'Carrie Gee', 'id': 14818692, 'id_str': '14818692', 'indices': [52, 57]}, {'screen_name': 'cassiuswinston', 'name': 'Cassius Winston', 'id': 2971038080, 'id_str': '2971038080', 'indices': [59, 74]}, {'screen_name': 'QuinnXCII', 'name': 'Quinn XCII', 'id': 714845064, 'id_str': '714845064', 'indices': [76, 86]}, {'screen_name': 'steve21smith', 'name': 'Steve Smith', 'id': 28004749, 'id_str': '28004749', 'indices': [93, 106]}]",1255498742008090629,41346792,michiganstateu,michiganstateu,41346792,"East Lansing, MI USA",The official Twitter account for Michigan State University. #MSUGrad20,http://www.msu.edu,244012,186,Wed May 20 12:20:09 +0000 2009,True,,,,4,68,"As well as @KirkCousins8, @Coach_mtucker, @bvheide, @cgee, @cassiuswinston, @QuinnXCII &amp; @steve21smith... an absolute dream roster. #SpartansAlwaysWill"
Wed Apr 29 14:06:40 +0000 2020,1255498742008090629,[],"[{'screen_name': 'MagicJohnson', 'name': 'Earvin Magic Johnson', 'id': 248900032, 'id_str': '248900032', 'indices': [51, 64]}, {'screen_name': 'HaleyKluge', 'name': 'Haley Kluge', 'id': 495081678, 'id_str': '495081678', 'indices': [66, 77]}, {'screen_name': 'RyanFieldABC', 'name': 'Ryan Field', 'id': 283724636, 'id_str': '283724636', 'indices': [79, 92]}, {'screen_name': 'TheRealJKirk', 'name': 'Jonathan Kirkland', 'id': 305205227, 'id_str': '305205227', 'indices': [94, 107]}]",1255489097780604929,41346792,michiganstateu,michiganstateu,41346792,"East Lansing, MI USA",The official Twitter account for Michigan State University. #MSUGrad20,http://www.msu.edu,244012,186,Wed May 20 12:20:09 +0000 2009,True,,,,4,85,"Featuring some of our favorite Spartans, including @MagicJohnson, @HaleyKluge, @RyanFieldABC, @TheRealJKirk, @Ericthomasbtc, @DHarris_45, @karlgude, @hannahmbullion, @gerizeldes, @justinabss, @kellierowe, @DrDorindaCA, @jemelehill, @Phil_Lewis_, @SuzyMerchant, @K_G_1_2_"
Wed Apr 29 14:01:32 +0000 2020,1255497448736382976,[],"[{'screen_name': 'kellierowe', 'name': 'Kellie Rowe', 'id': 237610812, 'id_str': '237610812', 'indices': [0, 11]}]",1255497152954015747,237610812,kellierowe,michiganstateu,41346792,"East Lansing, MI USA",The official Twitter account for Michigan State University. #MSUGrad20,http://www.msu.edu,244012,186,Wed May 20 12:20:09 +0000 2009,True,,,,0,1,@kellierowe Thank you again for helping us celebrate the Class of 2020!
Wed Apr 29 13:44:43 +0000 2020,1255493215718957057,[],"[{'screen_name': 'e_freiny', 'name': 'Erich Freiny', 'id': 326555820, 'id_str': '326555820', 'indices': [0, 9]}]",1255492999963869193,326555820,e_freiny,michiganstateu,41346792,"East Lansing, MI USA",The official Twitter account for Michigan State University. #MSUGrad20,http://www.msu.edu,244012,186,Wed May 20 12:20:09 +0000 2009,True,,,,0,1,@e_freiny Always.
Wed Apr 29 13:44:33 +0000 2020,1255493176137220101,[],"[{'screen_name': 'lorilynn2121', 'name': 'Lori Lynn', 'id': 274524761, 'id_str': '274524761', 'indices': [0, 13]}]",1255491560474640386,274524761,lorilynn2121,michiganstateu,41346792,"East Lansing, MI USA",The official Twitter account for Michigan State University. #MSUGrad20,http://www.msu.edu,244012,186,Wed May 20 12:20:09 +0000 2009,True,,,,0,19,"@lorilynn2121 This has been such a challenging time, and our heart goes out to the Class of 2020. They deserve to be celebrated. So glad this made things feel better. Go White!"
Wed Apr 29 13:40:33 +0000 2020,1255492166643847168,[],"[{'screen_name': 'DHarris_45', 'name': 'Darien Harris', 'id': 154028681, 'id_str': '154028681', 'indices': [0, 11]}]",1255491622193827847,154028681,DHarris_45,michiganstateu,41346792,"East Lansing, MI USA",The official Twitter account for Michigan State University. #MSUGrad20,http://www.msu.edu,244012,186,Wed May 20 12:20:09 +0000 2009,True,,,,0,8,@DHarris_45 Thank you again for helping us celebrate!
Wed Apr 29 13:34:23 +0000 2020,1255490617146322953,[],"[{'screen_name': 'toddgrooten', 'name': 'Todd Grooten', 'id': 210853856, 'id_str': '210853856', 'indices': [0, 12]}]",1255490300149104642,210853856,toddgrooten,michiganstateu,41346792,"East Lansing, MI USA",The official Twitter account for Michigan State University. #MSUGrad20,http://www.msu.edu,244012,186,Wed May 20 12:20:09 +0000 2009,True,,,,0,4,"@toddgrooten Thank you, Todd! Couldn't have done it without the kindness of so many Spartans."
Wed Apr 29 13:28:21 +0000 2020,1255489097780604929,[],[],,,,michiganstateu,41346792,"East Lansing, MI USA",The official Twitter account for Michigan State University. #MSUGrad20,http://www.msu.edu,244012,186,Wed May 20 12:20:09 +0000 2009,True,,,,1001,4065,"Congratulations, Class of 2020! We are all so proud of you. https://t.co/6zlTGQs7Fo https://t.co/pWW2orqXb3"
Tue Apr 28 15:25:17 +0000 2020,1255156139265863680,[],"[{'screen_name': 'alexleetweetz', 'name': 'mansionz #1 fan | ᴀʟᴇx ʟᴇᴇ 💬', 'id': 55162103, 'id_str': '55162103', 'indices': [0, 14]}]",1255153421604147201,55162103,alexleetweetz,michiganstateu,41346792,"East Lansing, MI USA",The official Twitter account for Michigan State University. #MSUGrad20,http://www.msu.edu,244012,186,Wed May 20 12:20:09 +0000 2009,True,,,,1,3,@alexleetweetz Go White!
Tue Apr 28 15:07:52 +0000 2020,1255151755416834050,[],[],,,,michiganstateu,41346792,"East Lansing, MI USA",The official Twitter account for Michigan State University. #MSUGrad20,http://www.msu.edu,244012,186,Wed May 20 12:20:09 +0000 2009,True,,,,16,107,MSU has expanded its ability to repurpose personal protective equipment with a second decontamination process using vaporized hydrogen peroxide. https://t.co/rNg92n4Fz7 https://t.co/2Z4gSuIXMM
Mon Apr 27 17:03:38 +0000 2020,1254818499668643846,[],[],,,,michiganstateu,41346792,"East Lansing, MI USA",The official Twitter account for Michigan State University. #MSUGrad20,http://www.msu.edu,244012,186,Wed May 20 12:20:09 +0000 2009,True,,,,28,181,MSU names Teresa Kaye Woodruff as the university’s next provost and executive vice president for academic affairs. https://t.co/WdXwJc0pO3 https://t.co/qhHt9DOCOm
Fri Apr 24 16:48:21 +0000 2020,1253727492378185728,[],"[{'screen_name': 'MSUStratCom', 'name': 'MSUStratCom', 'id': 855067708127408128, 'id_str': '855067708127408128', 'indices': [0, 12]}, {'screen_name': 'MSUComArtSci', 'name': 'MSU ComArtSci', 'id': 20464558, 'id_str': '20464558', 'indices': [13, 26]}, {'screen_name': 'Google', 'name': 'Google', 'id': 20536157, 'id_str': '20536157', 'indices': [27, 34]}]",1253696114957697024,855067708127408128,MSUStratCom,michiganstateu,41346792,"East Lansing, MI USA",The official Twitter account for Michigan State University. #MSUGrad20,http://www.msu.edu,244012,186,Wed May 20 12:20:09 +0000 2009,True,,,,0,1,@MSUStratCom @MSUComArtSci @Google This is the best photo!
